ISO3,Year,predicted_probability
AFG,1996,0.04294548866400372
AFG,1998,0.13843828927372684
AFG,2000,0.36841538692322934
AFG,2014,0.03246041894318832
AFG,2015,0.04728455986125929
AFG,2016,0.052192240582524065
AFG,2017,0.06160860394775162
AFG,2018,0.03376753790494236
AGO,1998,0.03460848696937185
AGO,2000,0.03007443770888153
AGO,2002,0.023988690729238055
AGO,2003,0.027394236515127218
AGO,2004,0.033234011860867226
AGO,2005,0.028922271416733952
AGO,2006,0.02367144452280441
AGO,2007,0.02796789365446986
AGO,2008,0.025385085765077992
AGO,2009,0.037105946895567316
AGO,2010,0.02209489532261937
AGO,2011,0.02237847536317054
AGO,2012,0.030026348668811587
AGO,2013,0.02403613736884373
AGO,2014,0.02384766935314886
AGO,2015,0.02267094523201015
AGO,2016,0.03196193788573413
AGO,2017,0.023405684604520055
AGO,2018,0.021268408927733715
ALB,1996,0.034996381021018666
ALB,1998,0.04167747601551705
ALB,2000,0.022858996899931445
ALB,2002,0.02025262073477774
ALB,2003,0.020878381538898733
ALB,2004,0.020367089165968685
ALB,2005,0.020697762352699062
ALB,2006,0.02025262073477774
ALB,2007,0.021245080797528144
ALB,2008,0.022073194377391175
ALB,2009,0.020561090013470115
ALB,2010,0.020979474604478462
ALB,2011,0.02093235779351449
ALB,2012,0.020612466574436463
ALB,2013,0.02179132491041198
ALB,2014,0.021993340596869592
ALB,2015,0.020887528307798057
ALB,2016,0.020539243564655925
ALB,2017,0.02130534082911068
ALB,2018,0.02076433089867288
ARE,1996,0.022130911423943172
ARE,1998,0.021796154144137988
ARE,2000,0.02088035528725825
ARE,2002,0.0205339484707741
ARE,2003,0.020505350261107797
ARE,2004,0.021724740043363482
ARE,2005,0.020291122324070997
ARE,2006,0.02025262073477774
ARE,2007,0.020329809089456728
ARE,2008,0.02040467023006157
ARE,2009,0.021662067982161432
ARE,2010,0.021239998520667297
ARE,2011,0.02045419831009695
ARE,2012,0.020709862280908004
ARE,2013,0.020904142998602656
ARE,2014,0.020547875550369934
ARE,2015,0.021121673104807837
ARE,2016,0.021089717044147766
ARE,2017,0.0227858485375588
ARE,2018,0.0210736886817532
ARG,1996,0.02025262073477774
ARG,1998,0.02025262073477774
ARG,2000,0.02025262073477774
ARG,2002,0.032224100965018564
ARG,2003,0.02370942236426013
ARG,2004,0.027780701305285625
ARG,2005,0.020927720331845825
ARG,2006,0.02132206579885941
ARG,2007,0.020716210811341743
ARG,2008,0.021816255199644464
ARG,2009,0.021152440496907093
ARG,2010,0.02114697286293168
ARG,2011,0.020646675049180344
ARG,2012,0.021156824431308122
